ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.047,0.002,0.037,0.327,0.587
2,0.745,0,0.024,0.16,0.071
3,0.323,0.001,0.011,0.192,0.473
4,0.206,0.006,0.056,0.194,0.538
5,0.39,0,0.021,0.356,0.233
6,0.348,0,0.017,0.538,0.097
7,0.345,0.001,0.073,0.294,0.287
8,0.572,0.001,0.024,0.101,0.302
9,0.609,0,0.002,0.153,0.236
10,0.537,0,0.031,0.323,0.109
11,0.779,0,0.004,0.093,0.124
12,0.043,0.001,0.12,0.194,0.642
13,0.599,0,0.007,0.193,0.201
14,0.687,0,0.039,0.05,0.224
15,0.973,0,0.001,0.01,0.016
16,0.682,0,0.006,0.173,0.139
17,0.335,0.008,0.043,0.459,0.155
18,0.239,0,0.028,0.461,0.272
19,0.329,0.001,0.034,0.223,0.413
20,0.013,0.044,0.431,0.026,0.486
21,0.216,0,0.012,0.216,0.556
22,0,0.018,0.109,0.008,0.865
23,0.653,0,0.017,0.249,0.081
24,0.003,0.016,0.052,0.048,0.881
25,0.675,0.001,0.007,0.21,0.107
26,0.087,0.011,0.143,0.024,0.735
27,0.704,0.002,0.004,0.021,0.269
28,0.036,0.009,0.131,0.104,0.72
29,0.339,0,0.059,0.425,0.177
30,0.431,0.004,0.037,0.39,0.138
31,0.339,0.004,0.074,0.138,0.445
32,0.766,0,0.007,0.103,0.124
33,0.194,0.004,0.189,0.159,0.454
34,0.889,0.005,0.011,0.035,0.06
35,0.604,0.035,0.038,0.027,0.296
36,0.568,0,0.016,0.22,0.196
37,0.193,0.006,0.169,0.106,0.526
38,0.746,0,0.003,0.128,0.123
39,0.319,0.003,0.032,0.521,0.125
40,0.464,0,0.031,0.123,0.382
41,0.092,0.009,0.081,0.349,0.469
42,0.002,0.026,0.071,0.011,0.89
43,0.406,0,0.017,0.056,0.521
44,0.002,0.042,0.083,0.011,0.862
45,0.216,0.007,0.225,0.081,0.471
46,0.47,0.002,0.032,0.107,0.389
47,0.424,0.011,0.07,0.229,0.266
48,0.509,0.001,0.028,0.298,0.164
49,0.344,0,0.054,0.425,0.177
50,0.095,0.005,0.093,0.409,0.398
51,0.171,0.039,0.02,0.018,0.752
52,0.489,0.001,0.02,0.409,0.081
53,0.901,0.002,0.007,0.028,0.062
54,0.337,0.026,0.038,0.022,0.577
55,0.004,0.029,0.25,0.009,0.708
56,0.359,0.001,0.062,0.118,0.46
57,0.606,0,0.016,0.287,0.091
58,0,0.018,0.083,0.006,0.893
59,0.008,0.016,0.196,0.032,0.748
60,0.796,0,0.002,0.087,0.115
61,0.633,0,0.035,0.037,0.295
62,0.253,0,0.097,0.514,0.136
