"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
1,0.033,0.002,0.041,0.211,0.713
2,0.714,0,0.014,0.216,0.056
3,0.234,0.002,0.018,0.277,0.469
4,0.219,0.004,0.054,0.194,0.529
5,0.475,0.001,0.022,0.396,0.106
6,0.281,0.002,0.034,0.541,0.142
7,0.316,0.021,0.149,0.268,0.246
8,0.575,0.008,0.024,0.102,0.291
9,0.723,0,0.002,0.186,0.089
10,0.532,0,0.056,0.349,0.063
11,0.82,0,0.003,0.093,0.084
12,0.028,0.004,0.144,0.169,0.655
13,0.577,0,0.009,0.153,0.261
14,0.767,0,0.022,0.033,0.178
15,0.883,0,0.004,0.093,0.02
16,0.753,0,0.003,0.185,0.059
17,0.366,0.002,0.03,0.462,0.14
18,0.37,0,0.009,0.474,0.147
19,0.235,0,0.028,0.224,0.513
20,0.023,0.015,0.376,0.038,0.548
21,0.558,0.001,0.033,0.315,0.093
22,0,0.017,0.088,0.015,0.88
23,0.644,0.001,0.016,0.215,0.124
24,0.004,0.013,0.043,0.036,0.904
25,0.67,0.001,0.013,0.186,0.13
26,0.143,0.016,0.203,0.058,0.58
27,0.812,0.001,0.011,0.018,0.158
28,0.022,0.06,0.233,0.052,0.633
29,0.479,0,0.048,0.387,0.086
30,0.429,0.006,0.021,0.449,0.095
31,0.231,0.005,0.087,0.127,0.55
32,0.633,0,0.01,0.14,0.217
33,0.183,0.016,0.178,0.143,0.48
34,0.889,0.024,0.009,0.048,0.03
35,0.581,0.034,0.031,0.031,0.323
36,0.449,0,0.047,0.228,0.276
37,0.107,0.006,0.158,0.035,0.694
38,0.85,0,0.001,0.094,0.055
39,0.31,0.002,0.025,0.501,0.162
40,0.306,0,0.056,0.153,0.485
41,0.099,0.012,0.059,0.31,0.52
42,0.001,0.027,0.072,0.013,0.887
43,0.302,0.001,0.013,0.047,0.637
44,0.001,0.085,0.071,0.012,0.831
45,0.205,0.013,0.283,0.055,0.444
46,0.323,0.005,0.062,0.103,0.507
47,0.314,0.012,0.061,0.211,0.402
48,0.471,0,0.053,0.291,0.185
49,0.234,0,0.064,0.408,0.294
50,0.09,0.006,0.076,0.325,0.503
51,0.153,0.017,0.008,0.033,0.789
52,0.329,0,0.043,0.452,0.176
53,0.889,0.001,0.009,0.036,0.065
54,0.239,0.014,0.058,0.02,0.669
55,0.013,0.031,0.383,0.029,0.544
56,0.371,0,0.063,0.179,0.387
57,0.495,0.001,0.006,0.427,0.071
58,0,0.052,0.075,0.005,0.868
59,0.005,0.017,0.102,0.015,0.861
60,0.66,0,0.007,0.072,0.261
61,0.675,0,0.022,0.054,0.249
62,0.184,0,0.119,0.508,0.189
63,0.305,0.001,0.023,0.217,0.454
64,0,0.055,0.052,0.017,0.876
65,0.004,0.034,0.105,0.013,0.844
66,0.703,0,0.003,0.228,0.066
67,0.881,0.002,0.008,0.051,0.058
68,0.141,0.004,0.173,0.394,0.288
69,0.352,0.005,0.048,0.488,0.107
70,0.006,0.013,0.074,0.018,0.889
71,0.036,0.021,0.085,0.079,0.779
72,0.83,0,0.002,0.098,0.07
73,0,0.011,0.024,0.001,0.964
74,0.297,0.001,0.048,0.382,0.272
75,0.001,0.039,0.048,0.015,0.897
76,0.533,0.026,0.093,0.026,0.322
77,0.877,0,0.011,0.017,0.095
78,0.066,0.006,0.159,0.024,0.745
79,0.399,0,0.047,0.357,0.197
80,0.932,0.002,0.003,0.029,0.034
81,0.002,0.017,0.06,0.005,0.916
82,0,0.025,0.068,0.005,0.902
83,0.585,0,0.016,0.271,0.128
84,0.004,0.045,0.162,0.012,0.777
85,0.359,0.002,0.085,0.425,0.129
86,0.067,0.026,0.166,0.011,0.73
87,0.087,0.004,0.194,0.49,0.225
88,0.475,0.001,0.054,0.204,0.266
89,0.014,0.04,0.272,0.031,0.643
90,0.648,0,0.005,0.012,0.335
91,0.011,0.019,0.172,0.012,0.786
92,0.001,0.02,0.119,0.005,0.855
93,0.513,0,0.01,0.022,0.455
94,0.532,0,0.051,0.317,0.1
95,0.087,0.005,0.132,0.037,0.739
96,0.609,0.003,0.027,0.285,0.076
97,0.524,0,0.032,0.335,0.109
98,0,0.011,0.034,0.005,0.95
99,0.326,0.013,0.039,0.031,0.591
100,0.266,0,0.077,0.403,0.254
101,0.522,0.001,0.028,0.019,0.43
102,0.826,0,0.021,0.118,0.035
103,0.373,0,0.08,0.339,0.208
104,0.487,0,0.029,0.199,0.285
105,0.324,0,0.041,0.227,0.408
106,0.668,0,0.02,0.139,0.173
107,0.453,0.001,0.035,0.39,0.121
108,0.03,0.004,0.103,0.481,0.382
109,0.886,0.001,0.006,0.05,0.057
110,0.191,0.001,0.037,0.311,0.46
111,0.549,0.001,0.041,0.326,0.083
112,0.515,0,0.013,0.282,0.19
113,0.28,0.002,0.048,0.474,0.196
114,0.227,0,0.06,0.483,0.23
115,0,0.013,0.074,0.016,0.897
116,0.677,0,0.01,0.127,0.186
117,0.633,0.001,0.004,0.241,0.121
118,0.031,0.003,0.168,0.405,0.393
119,0.131,0.006,0.159,0.528,0.176
120,0.42,0.015,0.105,0.093,0.367
121,0.601,0,0.011,0.034,0.354
122,0.82,0,0.011,0.048,0.121
123,0.912,0,0.004,0.051,0.033
124,0,0.05,0.069,0.007,0.874
125,0.017,0.016,0.113,0.126,0.728
126,0.715,0,0.004,0.179,0.102
127,0.084,0.009,0.248,0.033,0.626
128,0.714,0.002,0.008,0.119,0.157
129,0.927,0,0.006,0.033,0.034
130,0.88,0,0.002,0.079,0.039
131,0.432,0.002,0.029,0.408,0.129
132,0.932,0,0.002,0.034,0.032
133,0.696,0.002,0.026,0.022,0.254
134,0.274,0.003,0.081,0.378,0.264
135,0.547,0,0.128,0.123,0.202
136,0.357,0,0.021,0.526,0.096
137,0.47,0.001,0.073,0.221,0.235
138,0,0.005,0.106,0.002,0.887
139,0.343,0,0.023,0.524,0.11
140,0.225,0,0.039,0.196,0.54
141,0.581,0.001,0.02,0.19,0.208
142,0.273,0.031,0.034,0.028,0.634
143,0.268,0,0.078,0.343,0.311
144,0.252,0,0.088,0.385,0.275
145,0.406,0.001,0.08,0.287,0.226
146,0.285,0,0.09,0.413,0.212
147,0.303,0.02,0.134,0.224,0.319
148,0.328,0,0.073,0.532,0.067
149,0.004,0.011,0.097,0.016,0.872
150,0.196,0.017,0.035,0.027,0.725
151,0.246,0.011,0.21,0.084,0.449
152,0.044,0.013,0.257,0.02,0.666
153,0.365,0,0.012,0.102,0.521
154,0.041,0,0.133,0.368,0.458
155,0.498,0.006,0.009,0.04,0.447
156,0.827,0,0.001,0.073,0.099
157,0.28,0,0.028,0.546,0.146
158,0.004,0.029,0.05,0.012,0.905
159,0.211,0.001,0.069,0.237,0.482
160,0.478,0.001,0.028,0.269,0.224
161,0.418,0.002,0.04,0.297,0.243
162,0.497,0,0.025,0.181,0.297
163,0.005,0.047,0.065,0.028,0.855
164,0.917,0,0.003,0.043,0.037
165,0.321,0,0.052,0.326,0.301
166,0.826,0,0.015,0.018,0.141
167,0.562,0,0.019,0.235,0.184
168,0.615,0.001,0.019,0.257,0.108
169,0.54,0,0.001,0.373,0.086
170,0.572,0,0.011,0.08,0.337
171,0.003,0.019,0.201,0.012,0.765
172,0.386,0.001,0.046,0.32,0.247
173,0.49,0,0.09,0.279,0.141
174,0.285,0.007,0.082,0.383,0.243
175,0.338,0.04,0.015,0.504,0.103
176,0.388,0.051,0.017,0.018,0.526
177,0.214,0.006,0.077,0.466,0.237
178,0.624,0.001,0.016,0.211,0.148
179,0.644,0.008,0.04,0.075,0.233
180,0.041,0.006,0.166,0.119,0.668
181,0,0.022,0.049,0.014,0.915
182,0.625,0.015,0.034,0.03,0.296
183,0.474,0,0.066,0.196,0.264
184,0.102,0.003,0.07,0.258,0.567
185,0.393,0.001,0.011,0.45,0.145
186,0.276,0.003,0.036,0.396,0.289
187,0.003,0.02,0.044,0.02,0.913
188,0.359,0,0.069,0.347,0.225
189,0.594,0,0.006,0.078,0.322
190,0.794,0,0.001,0.122,0.083
191,0.357,0.048,0.044,0.488,0.063
192,0.323,0,0.119,0.292,0.266
193,0.169,0.007,0.077,0.359,0.388
194,0.422,0.002,0.048,0.085,0.443
195,0.597,0,0.004,0.107,0.292
196,0.598,0,0.004,0.035,0.363
197,0.525,0,0.027,0.405,0.043
198,0.656,0,0.012,0.207,0.125
199,0.33,0.002,0.066,0.437,0.165
200,0.561,0,0.023,0.212,0.204
201,0,0.008,0.097,0.006,0.889
202,0.171,0.001,0.017,0.126,0.685
203,0.599,0,0.016,0.253,0.132
204,0.585,0,0.013,0.089,0.313
205,0.122,0.008,0.145,0.557,0.168
206,0.394,0.002,0.039,0.113,0.452
207,0.274,0,0.019,0.282,0.425
208,0.172,0.002,0.137,0.512,0.177
209,0.449,0,0.031,0.316,0.204
210,0.458,0.001,0.029,0.409,0.103
211,0.013,0.046,0.197,0.015,0.729
212,0.298,0.002,0.039,0.44,0.221
213,0.585,0.001,0.026,0.327,0.061
214,0.64,0.002,0.017,0.046,0.295
215,0.003,0.038,0.061,0.013,0.885
216,0.649,0.002,0.03,0.077,0.242
217,0.772,0.003,0.029,0.052,0.144
218,0.207,0,0.037,0.086,0.67
219,0.466,0,0.031,0.094,0.409
220,0.264,0.001,0.07,0.39,0.275
221,0.072,0,0.027,0.425,0.476
222,0.013,0.061,0.115,0.008,0.803
223,0.26,0.069,0.084,0.032,0.555
224,0.61,0.001,0.005,0.319,0.065
225,0.136,0.001,0.144,0.543,0.176
226,0.54,0.001,0.028,0.267,0.164
227,0.033,0.02,0.211,0.009,0.727
228,0.005,0.024,0.051,0.024,0.896
229,0.639,0,0.012,0.234,0.115
230,0.004,0.018,0.162,0.004,0.812
231,0.921,0,0.006,0.036,0.037
232,0.758,0,0.004,0.127,0.111
233,0.005,0.016,0.052,0.007,0.92
234,0.067,0.004,0.208,0.478,0.243
235,0.401,0.02,0.088,0.408,0.083
236,0.772,0.001,0.007,0.031,0.189
237,0.489,0,0.028,0.353,0.13
238,0.017,0.018,0.189,0.075,0.701
239,0.628,0,0.004,0.314,0.054
240,0.786,0,0.017,0.024,0.173
241,0.843,0,0.003,0.039,0.115
242,0.294,0,0.05,0.372,0.284
243,0.842,0.001,0.008,0.02,0.129
244,0.422,0,0.028,0.213,0.337
245,0.358,0,0.042,0.217,0.383
246,0.404,0.001,0.072,0.352,0.171
247,0.319,0,0.009,0.119,0.553
248,0.32,0,0.036,0.322,0.322
249,0.331,0,0.045,0.394,0.23
250,0.838,0.004,0.011,0.044,0.103
251,0.002,0.033,0.03,0.714,0.221
252,0.325,0,0.016,0.417,0.242
253,0.004,0.011,0.077,0.01,0.898
254,0.262,0,0.084,0.433,0.221
255,0.001,0.027,0.044,0.012,0.916
256,0.426,0.001,0.03,0.234,0.309
257,0.24,0.001,0.101,0.146,0.512
258,0.553,0,0.012,0.061,0.374
259,0.195,0.005,0.108,0.451,0.241
260,0.896,0,0.002,0.049,0.053
261,0.652,0,0.004,0.06,0.284
262,0.672,0,0.006,0.188,0.134
263,0.729,0,0.002,0.173,0.096
264,0.36,0.001,0.05,0.343,0.246
265,0.4,0,0.032,0.456,0.112
266,0.462,0.009,0.094,0.172,0.263
267,0.014,0.014,0.146,0.089,0.737
268,0.008,0.031,0.339,0.069,0.553
269,0.002,0.059,0.2,0.012,0.727
